ID,Title,Author,State,Source Branch,Destination Branch,Created On,Updated On,Link
164,OnlineAssistant.vbp edited online with Bitbucket,Max Hampton,MERGED,hotfix/bump-ola-version,master,2023-11-14T01:04:25.182115+00:00,2023-11-14T01:30:23.325567+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/164
163,Hotfix/QA-11662 Add proc code template min duration check,Greg Stone,MERGED,hotfix/QA-11662_Add_proc_code_template_min_duration_check,master,2023-11-13T21:08:03.901078+00:00,2023-11-13T21:30:37.439310+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/163
162,OnlineAssistant.vbp edited online with Bitbucket,Max Hampton,MERGED,master,develop,2023-11-10T15:39:02.554783+00:00,2023-11-10T15:45:01.196479+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/162
161,OnlineAssistant.vbp edited online with Bitbucket,Max Hampton,MERGED,hotfix/bump-ola-version,master,2023-11-09T22:38:31.595451+00:00,2023-11-10T00:09:12.583896+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/161
131,Feature/add v1 local build script,Max Hampton,MERGED,feature/add-v1-local-build-script,develop,2023-07-21T20:14:26.960458+00:00,2023-10-10T18:29:21.036987+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/131
159,Master,Max Hampton,MERGED,master,develop,2023-10-09T19:32:25.262231+00:00,2023-10-09T20:05:44.238104+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/159
158,QA-11247 add script to remote clinician only write access for acccess level 21 agency wide (all programs).,Chris Sweeney,MERGED,hotfix/QA-11247_RemoveClinicianOnlyWriteAccessForAccessLevel21,master,2023-10-04T17:22:54.599794+00:00,2023-10-04T21:10:07.481793+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/158
157,QA-11473,Judy Genensky,MERGED,hotfix/2023-09-11_QA-11473_V1)EnableTwoTellehealthLocationsForSonomoSpecificLocationList,master,2023-09-11T19:11:52.648151+00:00,2023-09-11T21:15:23.197156+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/157
156,back merge,Chris Sweeney,MERGED,master,develop,2023-08-23T15:41:28.551859+00:00,2023-08-24T15:10:19.550836+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/156
155,Hotfix - Some services are being matched to the incorrect billing template in OLA,Judy Genensky,MERGED,hotfix/PR-4172_CalAIM_Rrelated_Bug_Related_To_Billing_In_OLA,master,2023-08-22T19:16:41.088357+00:00,2023-08-22T22:34:43.650290+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/155
150,back merge,Chris Sweeney,MERGED,master,develop,2023-08-15T16:02:02.122345+00:00,2023-08-21T22:58:13.243687+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/150
154,PR-4172 OLA Updates,Judy Genensky,MERGED,hotfix/PR-4172_CalAIM_Rrelated_Bug_Related_To_Billing_In_OLA,master,2023-08-17T16:59:37.527370+00:00,2023-08-17T22:12:54.339693+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/154
153,Update the OLA incorrect version message to not reference Seneca's IT department specifically.,Michael Walkley,MERGED,hotfix/UpdateOLAIncorrectVersionMessage,master,2023-08-16T20:23:03.299037+00:00,2023-08-17T03:05:05.137504+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/153
151,Hotfix/QA-11370 OLA AcceptingNotes ServerError,Michael Walkley,MERGED,hotfix/QA-11370_OLA_AcceptingNotes_ServerError,master,2023-08-15T21:08:45.951876+00:00,2023-08-15T23:44:21.686269+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/151
152,Add notification when response starts with ERROR,Max Hampton,MERGED,hotfix/add-ola-error-handling-for-known-error-case,master,2023-08-15T23:17:42.364705+00:00,2023-08-15T23:33:23.654551+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/152
148,QA-11370 Fix sql to use correct alias for ServiceNote table.,Michael Walkley,MERGED,hotfix/QA-11370_OLA_AcceptingNotes_ServerError,master,2023-08-14T21:14:58.142816+00:00,2023-08-15T03:26:50.806360+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/148
149,PR-4172 V2 Hotfix Bug in OLA related to payment reform billing,Judy Genensky,MERGED,hotfix/PR-4172_CalAIM_Rrelated_Bug_Related_To_Billing_In_OLA,master,2023-08-14T21:19:07.795771+00:00,2023-08-14T21:28:02.699442+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/149
147,Add hotfix demo deployment,Max Hampton,MERGED,hotfix/add-hotfix-demo-deployment,master,2023-08-09T17:01:17.040963+00:00,2023-08-09T18:48:50.858458+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/147
146,Merge back?,Michael Walkley,MERGED,master,develop,2023-08-09T07:14:15.136037+00:00,2023-08-09T15:54:38.966615+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/146
